Feature1,Feature2,Feature3,Cluster
-0.67033476,-0.14032184,0.19624323,2
-0.6798293,-0.13957846,0.20576379,2
-0.69094735,-0.1411729,0.21475068,2
-0.6999959,-0.14367494,0.23149917,2
-0.69846416,-0.14090312,0.24883735,2
-0.69949675,-0.14273047,0.26614243,2
-0.6955351,-0.1483454,0.28445226,0
-0.691366,-0.15124188,0.29208326,0
-0.6913103,-0.15363985,0.3044964,0
-0.67792314,-0.1539312,0.32336298,0
-0.65665066,-0.15461023,0.33994913,0
-0.63918775,-0.15093482,0.35676193,0
-0.62185067,-0.15457346,0.3617761,0
-0.60334384,-0.14874844,0.3702935,0
-0.5757476,-0.14854385,0.38416117,0
-0.5466133,-0.1539643,0.3847336,2
-0.5286189,-0.15660235,0.38079724,2
-0.5083609,-0.1632831,0.37168893,2
-0.5087444,-0.16624613,0.3366536,2
-0.51502794,-0.1553477,0.31807628,2
-0.51353604,-0.150003,0.29983646,2
-0.5287136,-0.14982073,0.2710613,2
-0.5430481,-0.15097329,0.24224246,2
-0.5489286,-0.1389702,0.23493758,2
-0.5461618,-0.124100536,0.24609432,2
-0.5426365,-0.12191683,0.24922118,2
-0.54139286,-0.111686796,0.25551742,2
-0.5486422,-0.1039221,0.26308733,2
-0.5606432,-0.1126187,0.2456603,2
-0.5756213,-0.109194204,0.23287472,2
-0.605235,-0.109396085,0.22021112,2
-0.6443724,-0.11651598,0.19198143,2
-0.67596364,-0.11763772,0.17824918,2
-0.6994373,-0.11268549,0.18686903,2
-0.7154369,-0.105363324,0.21144941,2
-0.70998436,-0.092047244,0.25349575,0
-0.70242816,-0.08864485,0.28864163,0
-0.6847161,-0.091681436,0.31998995,0
-0.6612392,-0.092288524,0.35180905,0
-0.6439907,-0.096962854,0.3793314,0
-0.63279337,-0.110955626,0.3796625,0
-0.61926967,-0.123940274,0.3672354,0
-0.61636585,-0.12978372,0.35520297,0
-0.62149954,-0.13125889,0.34505844,0
-0.6255967,-0.13322218,0.3338143,0
-0.63829654,-0.12736797,0.33162326,0
-0.6428923,-0.12693998,0.32369757,0
-0.6421301,-0.12367563,0.3246754,0
-0.63947284,-0.11289719,0.33456236,0
-0.63229555,-0.11348441,0.3433686,0
-0.619371,-0.11363277,0.34177566,0
