日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-09-10,"34,312,646","31,067,424,234",907.0,911.0,901.0,904.0,+5.00,"45,141",902.4,940.35,958.0,958.26,,909.2400966422697,930.0934973845756,42.829901072669884,-11.001183293787335,-5.994108576102613,-5.007074717684722,940.35,958.26
2024-09-11,"19,513,256","17,621,000,956",906.0,906.0,900.0,901.0,-3.00,"30,789",904.8,938.0,957.6666666666666,956.92,,906.4933977615133,927.3226881098542,42.22741750418566,-11.889232662334734,-7.173133393349038,-4.716099268985697,938.0,956.92
2024-09-12,"43,749,260","40,999,951,508",936.0,944.0,928.0,940.0,X0.00,"80,643",912.4,937.85,957.6166666666667,956.52,,917.6622651743423,928.5300511470109,51.73295871750668,-9.33839689510171,-7.606186093699573,-1.732210801402137,937.85,956.52
2024-09-13,"28,307,441","26,795,862,243",955.0,955.0,939.0,947.0,+7.00,"39,071",918.2,936.75,957.05,955.88,,927.4415101162283,930.2890938949146,53.22069830258812,-6.675053808009011,-7.419959636561461,0.7449058285524499,936.75,955.88
2024-09-16,"14,456,888","13,692,259,575",952.0,952.0,943.0,947.0, 0.00,"26,421",927.8,935.45,956.4833333333333,954.72,,933.9610067441522,931.8806087620655,53.22069830258811,-4.5123200069192535,-6.83843171063302,2.3261117037137664,935.45,954.72
2024-09-18,"30,094,662","28,303,054,525",945.0,948.0,933.0,941.0,-6.00,"46,622",935.2,933.85,956.0,953.44,,936.3073378294348,932.7491222132974,51.6384592709957,-3.2450804760720757,-6.119761463720832,2.8746809876487562,933.85,953.44
2024-09-19,"35,254,383","33,482,773,635",940.0,960.0,936.0,960.0,+19.00,"53,494",947.0,933.95,956.3333333333334,951.94,,944.2048918862899,935.3444439072691,56.09029451431727,-0.6995785020342282,-5.035724871383511,4.336146369349283,933.95,951.94
2024-09-20,"66,762,167","65,105,344,444",981.0,982.0,971.0,973.0,+13.00,"67,911",953.6,935.05,956.8,950.6,,953.8032612575266,938.930687344672,58.87944746861694,2.3397700930328256,-3.560625878500244,5.90039597153307,935.05,950.6
2024-09-23,"15,399,658","15,013,916,758",971.0,977.0,971.0,977.0,+4.00,"26,106",959.6,936.45,957.0833333333334,949.24,,961.5355075050178,942.556336168989,59.72711561720587,5.013450387253101,-1.8458106253495752,6.859261012602676,936.45,949.24
2024-09-24,"29,324,170","28,726,805,585",976.0,987.0,971.0,987.0,+10.00,"63,433",967.6,938.3,957.5333333333333,947.38,,970.0236716700119,946.7890660576567,61.8447266196702,7.848801610505461,0.09311182182143196,7.7556897886840295,938.3,947.38
2024-09-25,"43,039,991","43,053,012,337",1000.0,1005.0,998.0,1005.0,+18.00,"82,005",980.4,941.45,958.1833333333333,946.68,,981.682447780008,952.332964528356,65.3740565070939,11.416683034871085,2.3578260644313627,9.058856970439722,941.45,946.68
2024-09-26,"43,341,810","43,835,515,361",1010.0,1015.0,1005.0,1015.0,+10.00,"78,670",991.4,944.0,958.9666666666667,946.18,,992.7882985200054,958.3012536208935,67.18981681260858,14.879647876925446,4.86219042693018,10.017457449995266,944.0,946.18
2024-09-27,"37,665,070","38,074,974,690",1020.0,1025.0,1000.0,1000.0,-15.00,"52,093",996.8,946.85,959.6333333333333,945.08,,995.1921990133369,962.2725627998559,61.94267501352559,16.226647136347765,7.135081768813697,9.091565367534068,945.08,946.85
2024-09-30,"66,874,949","65,017,701,862",978.0,990.0,957.0,957.0,-43.00,"166,934",992.8,947.5,959.2666666666667,943.62,,982.4614660088913,961.7704139617744,49.909852517994395,13.666869950580463,8.44143940516705,5.225430545413413,943.62,947.5
2024-10-01,"27,877,267","27,093,881,327",967.0,977.0,967.0,972.0,+15.00,"37,862",989.8,948.7,958.7166666666667,942.96,,978.9743106725942,962.7446602511292,53.316655383458404,12.702179905314665,9.293587505196573,3.408592400118092,942.96,948.7
2024-10-04,"43,765,757","42,845,984,122",986.0,986.0,967.0,977.0,+5.00,"43,935",984.2,950.55,958.25,943.1,,978.3162071150629,964.1023116557835,54.429268366258746,12.20047482819416,9.87496496979609,2.3255098583980693,943.1,950.55
