日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,returns,volatility
2021-10-29,"20,791,860","2,229,495,724",108.5,108.5,107.0,107.0,-1.50,"10,689",108.1,106.5,107.725,107.31,112.5855,107.81083027426254,107.30060253013986,49.04520396857632,0.2832945533567255,0.085580139013357,0.1977144143433684,106.5,112.5855,-0.01382488479262678,0.014062161282765112
2021-11-01,"18,216,191","1,951,366,670",108.0,108.0,106.5,106.5,-0.50,"8,368",107.8,106.675,107.63333333333334,107.3,112.6185,107.37388684950837,107.22435467012652,47.41817086628616,0.1780633984718633,0.1040767909050582,0.073986607566805,106.675,112.6185,-0.004672897196261627,0.01397250445066233
2021-11-02,"21,351,175","2,302,658,025",107.0,108.5,107.0,107.5,+1.00,"10,361",107.5,106.9,107.55833333333334,107.39,112.636,107.41592456633892,107.25060660630496,50.92470025958372,0.1733602042062756,0.1179334735653017,0.0554267306409738,106.9,112.636,0.009389671361502261,0.013986389027403833
2021-11-03,"12,336,039","1,330,768,535",107.5,108.5,107.5,107.5, 0.00,"6,756",107.4,107.2,107.475,107.45,112.6485,107.4439497108926,107.27435835808544,50.92470025958372,0.1676997505314545,0.1278867289585323,0.0398130215729222,107.2,112.6485,0.0,0.013877899359113391
2021-11-04,"11,377,672","1,229,646,696",108.5,108.5,107.5,108.0,+0.50,"6,193",107.3,107.45,107.40833333333332,107.46,112.6535,107.62929980726176,107.34346708588684,52.75181691976436,0.2012398537716109,0.142557353921148,0.0586824998504628,107.45,112.6535,0.0046511627906977715,0.013661415307486558
2021-11-05,"17,741,997","1,921,456,453",108.0,109.0,107.5,109.0,+1.00,"9,600",107.7,107.55,107.41666666666669,107.46,112.6585,108.08619987150784,107.50123212532618,56.25936086164454,0.3049964605407211,0.1750451752450626,0.1299512852956585,107.46,112.6585,0.0092592592592593,0.013719704291621527
2021-11-08,"20,910,258","2,243,805,853",107.5,108.0,107.0,107.5,-1.50,"11,664",107.9,107.525,107.39166666666668,107.44,112.6585,107.89079991433856,107.50111478005702,50.23513155661135,0.2631533865217363,0.1926668175003974,0.0704865690213389,107.44,112.6585,-0.013761467889908285,0.013873870644236268
2021-11-09,"23,994,381","2,581,028,511",107.5,108.0,107.0,108.0,+0.50,"10,776",108.0,107.675,107.375,107.45,112.6785,107.9271999428924,107.54862765814684,52.07722675835996,0.267257492216018,0.2075849524435215,0.0596725397724964,107.45,112.6785,0.0046511627906977715,0.01389876578223895
2021-11-10,"22,997,778","2,501,611,468",108.0,109.5,107.5,109.0,+1.00,"12,303",108.3,107.85,107.375,107.47,112.691,108.28479996192826,107.6868535954662,55.61583091939888,0.3471993699854323,0.2355078359519037,0.1116915340335286,107.47,112.691,0.0092592592592593,0.013872097610367949
2021-11-11,"18,767,739","2,023,469,603",108.5,109.0,107.5,107.5,-1.50,"9,980",108.2,107.9,107.375,107.44,112.6485,108.02319997461883,107.6690580149456,49.68895485369821,0.2862170876681915,0.2456496862951613,0.0405674013730302,107.44,112.6485,-0.013761467889908285,0.013860212356046168
