日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,股票代碼
2013-03-25,25469505,2540453602,99.9,100.5,99.2,99.5,1.5,7606,99,102.3,101.321666666667,102.238,90.2145,99.39901807556,101.576746461066,41.9238714437899,-1.03450144678368,-0.385461795048339,-0.64903965173534,90.2145,102.3,2330
2013-03-25,5218130,1755329484,335.5,339,332,338.5,5.5,3837,336.5,341.525,326.583333333333,327.48,308.79,337.103822819681,338.327715308932,52.0611683283344,2.14054061860003,4.14572801020925,-2.00518739160922,308.79,341.525,2454
2013-03-26,49479664,4149381585,84.2,84.2,83.5,83.5,1.1,19808,82.6,81.34,84.2033333333333,83.366,87.3335,82.6895883760534,82.0856140217285,57.1844808963047,-0.182392494914168,-0.632237142366407,0.449844647452239,81.34,87.3335,2317
2013-03-26,27220058,2698733342,99.2,99.4,98.8,99,-0.5,8019,98.8,102,101.371666666667,102.188,90.3185,99.2660120503734,101.331342036203,40.5086735221629,-1.09850261267438,-0.528069958573547,-0.570432654100833,90.3185,102.188,2330
2013-03-26,5177706,1760956040,340,342,338,340,1.5,3396,336.5,341.7,326.866666666667,328.17,309.22,338.069215213121,338.486980517605,53.7374793164385,2.04891385899276,3.72636517996595,-1.67745132097319,309.22,341.7,2454
2013-03-27,34781376,2914866637,84.1,84.3,83.3,83.5,0,13010,82.88,81.43,84.145,83.3,87.337,82.9597255840356,82.2203174482305,57.1844808963047,-0.057748796091531,-0.517339473111432,0.459590677019901,81.43,87.337,2317
2013-03-27,29969023,2992059750,99,100.5,98.8,100.5,1.5,7304,99.14,101.85,101.466666666667,102.188,90.432,99.6773413669156,101.252166604183,46.3587388941014,-1.01646930831325,-0.625749828521488,-0.39071947979176,90.432,102.188,2330
2013-03-27,5691520,1948012076,341.5,343.5,341,342.5,2.5,3446,337.2,342.325,327.225,328.99,309.645,339.546143475414,338.869172849261,56.4695606835211,2.15320726546565,3.41173359706589,-1.25852633160024,309.645,342.325,2454
2013-03-28,30257224,2507259712,83.8,83.8,82.6,82.7,-0.8,12335,83,81.48,84.055,83.214,87.331,82.8731503893571,82.26600150078,51.6996449223068,-0.02325303438046,-0.418522185365238,0.395269150984778,81.48,87.331,2317
2013-03-28,29558310,2945126900,100,100.5,99.3,100,-0.5,7232,99.4,101.625,101.538333333333,102.194,90.533,99.7848942446104,101.13291264188,44.7780877205421,-0.980500544972599,-0.69669997181171,-0.28380057316089,90.533,102.194,2330
