日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代碼
113/09/02,"36,343,903","6,688,191,942",185.5,187.0,182.0,183.0,-1.50,"26,722",2317
113/09/03,"52,160,276","9,664,621,237",184.0,187.0,183.0,185.0,+2.00,"30,186",2317
113/09/04,"126,923,199","22,545,752,187",175.0,181.0,172.0,179.5,-5.50,"88,719",2317
113/09/05,"77,629,690","13,796,237,402",180.0,181.0,175.0,175.0,-4.50,"72,711",2317
113/09/06,"39,222,622","6,922,689,688",175.5,178.0,175.0,176.5,+1.50,"28,471",2317
113/09/09,"68,938,987","11,869,037,943",172.0,174.0,170.5,172.0,-4.50,"63,220",2317
113/09/10,"92,555,358","15,703,874,968",173.5,174.0,167.5,169.0,-3.00,"78,401",2317
113/09/11,"29,538,055","5,032,175,690",170.0,172.0,169.5,169.5,+0.50,"20,075",2317
113/09/12,"53,142,993","9,359,414,247",174.5,177.5,174.0,177.5,+8.00,"39,767",2317
113/09/13,"37,100,441","6,557,941,556",179.0,179.5,175.0,176.0,-1.50,"27,286",2317
113/09/16,"54,484,267","9,745,444,472",177.0,182.0,175.0,181.0,+5.00,"34,487",2317
113/09/18,"78,892,097","13,867,710,200",179.0,179.5,173.5,174.0,-7.00,"72,219",2317
113/09/19,"41,818,994","7,338,504,656",174.5,176.5,173.0,176.5,+2.50,"24,742",2317
113/09/20,"82,199,775","14,730,717,699",180.0,182.0,177.0,177.0,+0.50,"39,913",2317
113/09/23,"30,951,518","5,552,858,366",178.0,180.5,177.5,180.0,+3.00,"26,766",2317
113/09/24,"57,714,716","10,452,057,970",179.0,184.0,178.0,183.0,+3.00,"38,239",2317
113/09/25,"119,878,344","22,641,200,780",186.5,191.0,186.0,188.5,+5.50,"81,722",2317
113/09/26,"66,162,758","12,583,833,926",192.0,193.0,188.5,189.5,+1.00,"64,179",2317
113/09/27,"69,739,488","13,370,192,685",192.0,194.0,190.0,191.0,+1.50,"57,434",2317
113/09/30,"64,605,410","12,219,149,922",190.0,191.0,187.5,187.5,-3.50,"76,067",2317
113/10/01,"36,339,680","6,812,209,357",189.0,190.0,185.5,187.0,-0.50,"33,125",2317
113/10/04,"118,705,879","22,937,372,648",188.0,196.5,188.0,194.0,+7.00,"71,996",2317
113/10/07,"84,399,003","16,617,477,858",199.0,199.0,195.0,197.5,+3.50,"83,028",2317
113/10/08,"56,919,495","11,111,098,449",197.0,197.5,194.0,194.0,-3.50,"41,542",2317
113/10/09,"84,123,315","16,699,561,256",198.0,200.0,197.0,199.0,+5.00,"52,273",2317
113/10/11,"71,856,959","14,407,126,388",200.0,202.0,199.0,200.0,+1.00,"61,591",2317
113/10/14,"36,897,701","7,314,343,806",200.0,200.0,196.5,199.0,-1.00,"30,561",2317
113/10/15,"129,198,222","26,474,993,881",201.0,207.5,200.5,207.0,+8.00,"82,815",2317
113/10/16,"99,708,717","20,478,795,445",204.0,207.5,203.5,205.0,-2.00,"61,667",2317
113/10/17,"66,198,561","13,716,403,160",207.5,209.0,204.0,208.5,+3.50,"42,868",2317
113/10/18,"107,497,437","22,496,182,726",210.0,211.0,207.0,207.5,-1.00,"63,732",2317
113/10/21,"59,461,934","12,553,871,788",210.0,213.5,209.0,210.0,+2.50,"42,327",2317
113/10/22,"94,132,714","20,135,549,269",211.0,216.0,209.0,215.5,+5.50,"63,914",2317
113/10/23,"51,836,095","11,146,585,671",214.5,217.0,213.0,216.0,+0.50,"52,331",2317
113/10/24,"80,712,284","17,138,812,263",215.0,215.5,210.0,211.5,-4.50,"77,588",2317
113/10/25,"49,896,574","10,691,350,004",212.5,216.0,212.0,216.0,+4.50,"35,110",2317
113/10/28,"96,697,162","21,028,802,878",218.5,221.5,214.0,215.0,-1.00,"65,676",2317
113/10/29,"87,991,240","18,457,446,806",213.0,213.0,207.0,209.5,-5.50,"91,406",2317
