new_index,nearest_index,distance,reference_date,infer_date
240,2433,2.1264907155950743,2020-09-18,2011-10-11
241,2433,2.0128636324615212,2020-09-18,2011-10-12
242,547,2.538006932278501,2013-01-07,2011-10-13
243,2315,2.4554270023565192,2020-03-31,2011-10-14
244,2439,2.293541347032464,2020-09-28,2011-10-17
245,2433,1.827661415060219,2020-09-18,2011-10-18
246,2433,2.0178997320747007,2020-09-18,2011-10-19
247,2439,2.0069957869183876,2020-09-28,2011-10-20
248,2315,1.8259435858877646,2020-03-31,2011-10-21
249,69,1.716822565088146,2011-02-10,2011-10-24
250,69,1.2367411681364355,2011-02-10,2011-10-25
251,68,1.1703716895119385,2011-02-09,2011-10-26
252,68,1.2499685212826441,2011-02-09,2011-10-27
253,69,1.1009791115954175,2011-02-10,2011-10-28
254,68,1.1460841337975256,2011-02-09,2011-10-31
255,68,0.9242227607309033,2011-02-09,2011-11-01
256,68,0.9158139835188764,2011-02-09,2011-11-02
257,68,0.9742373406948929,2011-02-09,2011-11-03
258,68,0.7999828953862024,2011-02-09,2011-11-04
259,979,1.0044815170522285,2014-10-13,2011-11-07
260,979,1.028659008584805,2014-10-13,2011-11-08
261,68,0.8457226082350702,2011-02-09,2011-11-09
262,68,0.7806506468857312,2011-02-09,2011-11-10
263,68,1.0069859971566324,2011-02-09,2011-11-11
264,68,1.0489436002875554,2011-02-09,2011-11-14
265,68,0.8886641961446503,2011-02-09,2011-11-15
266,68,0.9198578017766299,2011-02-09,2011-11-16
267,68,0.9127303591484555,2011-02-09,2011-11-17
268,1754,1.0077936614753067,2017-12-07,2011-11-18
269,68,0.8973521813465304,2011-02-09,2011-11-21
270,68,0.9821240135927792,2011-02-09,2011-11-22
271,68,1.0077392985800249,2011-02-09,2011-11-23
272,68,1.0284329594124024,2011-02-09,2011-11-24
273,68,1.0256507592891937,2011-02-09,2011-11-25
274,68,1.0857271703416609,2011-02-09,2011-11-28
275,68,1.0893522167883158,2011-02-09,2011-11-29
276,1751,1.0604635098202189,2017-12-04,2011-11-30
277,674,1.176989332817447,2013-07-18,2011-12-01
278,609,1.1985222636874002,2013-04-16,2011-12-02
279,674,1.277040407986187,2013-07-18,2011-12-05
280,674,1.3473706045105989,2013-07-18,2011-12-06
281,1020,1.2874002751195988,2014-12-09,2011-12-07
282,688,1.3862044130605862,2013-08-07,2011-12-08
283,636,1.293948365714722,2013-05-24,2011-12-09
284,636,1.3121237477465277,2013-05-24,2011-12-12
285,589,1.22623001456466,2013-03-15,2011-12-13
286,2329,1.2742467826351087,2020-04-22,2011-12-14
287,1020,1.1703751463038705,2014-12-09,2011-12-15
288,636,1.3266704549179995,2013-05-24,2011-12-16
289,1020,1.0536620013457052,2014-12-09,2011-12-19
290,636,1.2798038884347587,2013-05-24,2011-12-20
291,688,1.2417794720239004,2013-08-07,2011-12-21
292,636,1.2501080634851756,2013-05-24,2011-12-22
293,688,1.2497978367917932,2013-08-07,2011-12-23
294,688,1.2556647163013912,2013-08-07,2011-12-26
295,636,1.2859742626709143,2013-05-24,2011-12-27
296,688,1.230085151588583,2013-08-07,2011-12-28
297,636,1.2657611331752328,2013-05-24,2011-12-29
298,636,1.2464214351878669,2013-05-24,2011-12-30
299,636,1.3153893831837422,2013-05-24,2012-01-02
300,589,1.2814213854591199,2013-03-15,2012-01-03
301,636,1.2674458986101507,2013-05-24,2012-01-04
302,636,1.311532359172084,2013-05-24,2012-01-05
303,589,1.4304249122680819,2013-03-15,2012-01-06
304,636,1.3434229416457752,2013-05-24,2012-01-09
305,589,1.376783115590706,2013-03-15,2012-01-10
306,636,1.3725679967456412,2013-05-24,2012-01-11
307,589,1.4171833754193242,2013-03-15,2012-01-12
308,755,1.1755520929331789,2013-11-13,2012-01-13
309,636,1.306385869590384,2013-05-24,2012-01-16
310,755,1.2383223765298603,2013-11-13,2012-01-17
311,589,1.316929248980972,2013-03-15,2012-01-18
312,755,1.2446728866894383,2013-11-13,2012-01-30
313,589,1.3394473249978103,2013-03-15,2012-01-31
314,589,1.307840308320989,2013-03-15,2012-02-01
315,589,1.318440047932545,2013-03-15,2012-02-02
316,589,1.3215212642277838,2013-03-15,2012-02-03
317,589,1.3714053844230891,2013-03-15,2012-02-04
318,589,1.368466612724719,2013-03-15,2012-02-06
319,589,2.3404675630099954,2013-03-15,2012-02-07
320,589,2.8627517014276966,2013-03-15,2012-02-08
321,589,2.9660309488731595,2013-03-15,2012-02-09
322,589,1.8275413622404444,2013-03-15,2012-02-10
323,589,2.050611910685726,2013-03-15,2012-02-13
324,589,2.351813654938306,2013-03-15,2012-02-14
325,589,2.1180128685381385,2013-03-15,2012-02-15
326,589,2.831954815559054,2013-03-15,2012-02-16
327,589,2.0003818173005397,2013-03-15,2012-02-17
328,589,1.8674362185345907,2013-03-15,2012-02-20
329,589,1.8998818386768979,2013-03-15,2012-02-21
330,589,1.9399442407146446,2013-03-15,2012-02-22
331,2439,2.6731105655707803,2020-09-28,2012-02-23
332,2156,2.4059038538509925,2019-08-01,2012-02-24
333,2156,2.0442957179782084,2019-08-01,2012-02-29
334,589,2.52452580819128,2013-03-15,2012-03-01
335,2439,2.754728761410322,2020-09-28,2012-03-02
336,2156,2.1683210647096267,2019-08-01,2012-03-03
337,2156,2.057376852972018,2019-08-01,2012-03-05
338,547,1.5617865204348556,2013-01-07,2012-03-06
339,547,1.6512572984958713,2013-01-07,2012-03-07
340,2330,1.7605850521587496,2020-04-23,2012-03-08
341,2330,2.1404022660299695,2020-04-23,2012-03-09
342,547,1.6031831002599897,2013-01-07,2012-03-12
343,2330,1.5968114439199022,2020-04-23,2012-03-13
344,52,1.4913266855271265,2011-01-10,2012-03-14
345,52,1.4253054626586257,2011-01-10,2012-03-15
346,52,1.3662451119149426,2011-01-10,2012-03-16
347,2330,1.3278392586509067,2020-04-23,2012-03-19
348,68,1.195630570589393,2011-02-09,2012-03-20
349,68,1.1751178166746952,2011-02-09,2012-03-21
350,547,1.2665017847313162,2013-01-07,2012-03-22
351,547,1.0249841072973553,2013-01-07,2012-03-23
352,68,1.158732663388444,2011-02-09,2012-03-26
353,1751,1.3250682329692796,2017-12-04,2012-03-27
354,68,1.278371611092535,2011-02-09,2012-03-28
355,637,1.346780312823621,2013-05-27,2012-03-29
356,68,1.22884287297014,2011-02-09,2012-03-30
357,637,1.3252869798321996,2013-05-27,2012-04-02
358,68,1.2774754611025083,2011-02-09,2012-04-03
359,68,1.3382387495803698,2011-02-09,2012-04-05
360,68,1.3006451502102967,2011-02-09,2012-04-06
361,68,1.2649260676415206,2011-02-09,2012-04-09
362,1020,1.2291702208910646,2014-12-09,2012-04-10
363,637,1.3441849745606866,2013-05-27,2012-04-11
364,1020,1.2056734492962822,2014-12-09,2012-04-12
365,794,1.4026654097007605,2014-01-08,2012-04-13
366,1751,1.2553984309982045,2017-12-04,2012-04-16
367,636,1.3197111510763262,2013-05-24,2012-04-17
368,636,1.344389791537998,2013-05-24,2012-04-18
369,636,1.3780402532314755,2013-05-24,2012-04-19
370,636,1.396645266428728,2013-05-24,2012-04-20
371,589,1.4051785953317866,2013-03-15,2012-04-23
372,636,1.2947536173467815,2013-05-24,2012-04-24
373,636,1.2947382565992986,2013-05-24,2012-04-25
374,636,1.3681082330047476,2013-05-24,2012-04-26
375,636,1.2475335265102696,2013-05-24,2012-04-27
376,636,1.272766829662048,2013-05-24,2012-04-30
377,636,1.369147965872817,2013-05-24,2012-05-02
378,636,1.298625364117275,2013-05-24,2012-05-03
379,636,1.325832738179247,2013-05-24,2012-05-04
380,636,1.3366234759006845,2013-05-24,2012-05-07
381,636,1.337532114571329,2013-05-24,2012-05-08
382,636,1.2771282455202084,2013-05-24,2012-05-09
383,589,1.4098423203370336,2013-03-15,2012-05-10
384,636,1.1934852822604634,2013-05-24,2012-05-11
385,589,1.4365457678225968,2013-03-15,2012-05-14
386,636,1.3239555402527166,2013-05-24,2012-05-15
387,589,1.3811758138883836,2013-03-15,2012-05-16
388,589,1.4663604566170159,2013-03-15,2012-05-17
389,589,1.3366533490336172,2013-03-15,2012-05-18
390,589,1.4537270594142424,2013-03-15,2012-05-21
391,589,1.3444320707698205,2013-03-15,2012-05-22
392,755,1.1660080734870184,2013-11-13,2012-05-23
393,589,1.4449037921441252,2013-03-15,2012-05-24
394,589,1.3580721359981853,2013-03-15,2012-05-25
395,589,1.469937044223622,2013-03-15,2012-05-28
396,2079,1.7360476310875461,2019-04-12,2012-05-29
397,589,1.2497999485799787,2013-03-15,2012-05-30
398,589,1.4485134369285637,2013-03-15,2012-05-31
399,589,1.2991987932590634,2013-03-15,2012-06-01
400,589,1.6078013521607888,2013-03-15,2012-06-04
401,589,1.293154417107194,2013-03-15,2012-06-05
402,589,1.6306697719340486,2013-03-15,2012-06-06
